ID,파일명,대주제,소주제,불공정 약관 원문,시정 요청 사유,근거 조항,수정 후 약관 조항
10001,0124_여신전문금융약관_등_시정_보도자료,계약조건의 일방적 변경 조항,여신거래조건의 임의 변경 조항,"여신금융회사 표준
 여신거래기본약관제23조 (여신거래조건의 변경) ①금융회사는 채무자의 신용상태 변동시 통지에 의하여 여신한도, 여신만기, 금리 등 여신거래조건을 변경할 수 있습니다.","대출기간과 금리를 약정한 대출계약이 정상적으로 체결된이상계약의 기초가 되었던 객관적인 사정이 현저히 변하는 수준이아니라면 양 당사자는 계약이행의 책임이 있음.대출계약에서 사전에 그 내용이 특정되지 않은‘채무자의 신용상태변동’이라는 금융기관의 재량적 기준과 판단에 의해채무자의 여신거래조건(한도, 만기, 금리 등)을 임의로 변경할수있도록 한 여신거래약관조항을시정 요청함","여신전문금융업법(제54조의 3)
자본시장과 금융투자업에 관한 법(제56조)",
10002,0124_여신전문금융약관_등_시정_보도자료,담보물·근저당 관련 조항,포괄적 동의에 의한 담보물의 임의처분 결정 조항,"OO카드 자동차 근저당권 설정계약서
 제4조 근저당권의 실행 및 근저당물건의 처분∙관리
 1. 저당물건의 처분은 법정절차에 의함을 원칙으로 하되 소유자가 동의를 한 때에는 회사는 적당하다고 인정되는 방법 시기 가격 등에 의하여 처분하고 그 취득금에서 근저당권 실행에 관련된 일체의 비용을 뺀 잔액을 여신거래기본약관 제16조에 준하여 충당할 수 있다. 2. 전항에 의한 저당물건의 처분방법, 시기, 가격, 처분대금의 채무변제충당순위 및 방법 등은 일체 회사에게 일임하고 회사가 경매에 의하지 않고 저당물건을 임의 처분하는 경우에 소유자는 이에 필요한 제반 사항을 협력하여야 하고 근저당권실행에 관련된 일체의 비용은 채무자가 부담한다. 3. 채무자가 채무를 이행치 않는 경우에 회사는 저당물건의 소유자를 대위하여 이를 관리하고 그 처분의 대가 또는 임대 수익으로서 채무의 변제에 충당할 수 있으며 이 경우 전항의 약정을 준용하여도 소유자는 이의를 제기할 수 없다.","법정절차에 의하지 않는 사적실행은 그 결과에 따라 법정절차에비해채무자에게 경제적 불이익을 초래할 수 있으므로 사적실행 단계에서채무자가 그 구체적인 내용(방법, 시기, 가격 등)을 알 수 있도록 해야함. 그럼에도 동 약관 조항에서는 포괄적인 고객의 사전 동의를근거로 처분의 방법, 시기 등을 회사가 임의로 결정할 수 있도록 재량권을부여하고 있음. 또한 담보에 대한 저당권 수준을 넘어 직접 해당 물건의 지배(관리, 임대등)를 회사가 임으로 실행하더라도 이의제기를 금지하고 있어 고객에게부당하게 불리한 조항임..채무자가 변제기일에 변제를 못하여 금융사가 담보물을 법정처분(경매등)이아닌 사적처분(매매 등)을 할 경우 채무자에게 불리할 수 있음에도불구하고 포괄적 사전 동의를 근거로 처분의 방법, 시기 등을 금융사가 임의로 결정할 수 있도록 정한 근저당권 설정 계약서 조항을 시정 요청함.","여신전문금융업법(제54조의 3)
자본시장과 금융투자업에 관한 법(제56조)",
10003,0124_여신전문금융약관_등_시정_보도자료,담보물·근저당 관련 조항,변제충당 순서의 임의 결정 조항,"OO캐피탈 근저당권 설정계약서
 제11조 (근저당권의 실행)
 ①채무자가 기일이 도래하거나 기한의 이익을 상실한 채무를 변제하지 아니하는 경우 채권자는 법정절차에 의하여 근저당권을 실행하거나 또는 일반적으로 적당하다고 인정되는 방법, 시기, 가격 등에 의하여 저당물건을 임의처분하고 그 취득금으로부터 제비용을 차감한 잔액을 법정 순서에 불구하고 이 계약에 의한 근저당권이 담보하는 채무의 원금과 이자, 위약금, 지연배상금 기타 손해배상금의 전액에 대하여 채권자가 적당하다고 인정하는 순서와 방법에 따라 충당하여도 채무자와 설정자는 이의 없기로 하며, 만약 부족액이 있을 때에는 곧 추가 변제하기로 한다.","변제의 제공이 그 채무전부를 소멸하게 하지 못하는 때에는 어느채무를먼저 변제하느냐에 따라 채무자의 변제이익이 달라질 수 있음. 위 약관 조항은 변제충당 순서를 채권자인 금융사의 재량에의해결정하도록 규정하고 있어 채무자에게 일방적으로 불리하여불공정 약관 조항임. 채권자인 금융사가 담보물을 처분하여 변제에 충당하는 경우 처분액이채무 전부를 변제할 수 없으면 채무(비용, 이자, 원본) 중 무엇을먼저변제하느냐에 따라 채무자의 이익이 달라질 수 있음에도 불구하고그순서를 금융사가 임의로 정할 수 있도록 정한 근저당권 설정 계약서조항을시정 요청함","""여신전문금융업법(제54조의 3)
자본시장과 금융투자업에 관한 법(제56조)""
변제충당 순서는 당사자의 합의에 의하고, 합의가 없는 경우 채무자 지정, 채무자의 지정이 없는 경우 채권자가 지정, 채권자의 지정도 없는 경우에는 채무자에게 변제이익이 많은 순서로 함.(민법 제476조 및 제477조)다만, 지정에 의한 충당에서 채무자가 원본 이외에 비용과 이자 전부를 변제할 수 없을 경우에는 비용, 이자, 원본의 순서로 변제가 이루어져야 함.
(민법 제479조)담보권 실행을 위한 경매로 변제충당하는 경우 배당금이 동일 담보권자가
가진 수개의 피담보채권의 전부를 소멸시키기에 부족한 경우, 채권자와 채무자사이에 별도의 합의 여부와 관계없이 가장 공평 ․ 타당한 민법 제477조의 규정에
의한 법정변제충당의 방법에 따라 충당해야 함.(대법원판례 95다 55504)
<민법 제477조 (법정변제충당)> 당사자가 변제에 충당할 채무를 지정하지 아니한 때에는 다음 각호의 규정에 의한다.
 1. 채무중에 이행기가 도래한 것과 도래하지 아니한 것이 있으면 이행기가 도래한 채무의
변제에 충당한다.
 2. 채무전부의 이행기가 도래하였거나 도래하지 아니한 때에는 채무자에게 변제이익이 많은
채무의 변제에 충당한다.
 3. 채무자에게 변제이익이 같으면 이행기가 먼저 도래한 채무나 먼저 도래할 채무의 변제에
충당한다.
 4. 전2호의 사항이 같은 때에는 그 채무액에 비례하여 각채무의 변제에 충당한다.",
10004,0124_여신전문금융약관_등_시정_보도자료,담보물·근저당 관련 조항,재량적 판단에 의한 추가담보 요구 조항,"OO리스 자동차근저당권설정 계약서제3조 (담보가치 유지)
 본 저당물건의 멸실, 훼손, 공용징수, 기타의 원인으로 인하여 그 저당물건의 담보가액이 부족하다고 회사가 인정할 때에는 그 손실은 소유자의 부담으로 하고 회사의 요구에 의하여 채무자는 변제기한 전이라도 채무의 일부를 변제하거나 채무자 또는 소유자는 부족한 담보를 대신할 만한 다른 담보를 제공하여야 한다.","민법(제362조)상 저당권자(채권자)는 ①저당권설정자(채무자 또는 제3의담보제공자)의 책임이 있고 ②저당물의 가액이 현저히 감소된 때에추가담보를 청구할 수 있도록 하고 있음. 그러나 위 약관조항은 민법의‘현저히 감소된 때’를‘담보가액부족’으로 완화시켰고, 책임의 귀책 및 담보가액의 부족 정도에 대한 고려 없이 담보부족에 대해 금융회사의 재량적 판단으로일부변제나 추가 담보를 요구할 수 있도록 하고 있어 불공정함.담보물의 가치 감소가 발생한 원인 및 그 정도에 대한 판단 없이 금융사가일방적으로 담보가액이 부족하다고 인정하면 채무자가 채무일부를변제하거나 추가 담보를 제공하도록 정한 근저당권 설정 계약서 조항을시정 요청함.","""여신전문금융업법(제54조의 3)
자본시장과 금융투자업에 관한 법(제56조)""
<민법제362조 (저당물의 보충)> 저당권설정자의 책임있는 사유로 인하여 저당물의 가액이 현저히 감소된 때에는 저당권자는 저당권설정자에 대하여 그 원상회복 또는 상당한 담보제공을 청구할 수 있다.",
10005,0124_여신전문금융약관_등_시정_보도자료,계약조건의 일방적 변경 조항,초회 납입일의 임의 결정 조항,"제7조 (초회납입 및 지연배상금) ①채무자는 할부금융 대출일로부터 금융회사가 정하는 기준에 따라 대출기일 이내에 도래하는 상환일을 초회납입일로 하며, 초회차 상환금액은 매월 납부해야 할 할부원금에 당해 대출일로부터 초회차 납입일 까지의 기간이자를 가산하여 납입합니다.","할부 및 대출계약을 설정한 후, 채무자의 초회 납입일을언제로정하는가에 따라 채무자의 이익이 달라질 수 있음.이에, 초회 납입일의 설정은 고객의 의사를 기본으로 금융기관의사정을 반영하여 합리적으로 결정되어야 함에도 금융기관이일방적으로 정할 수 있도록 하여 불공정함.신용대출, 할부금융 설정 계약에서 이자 ․ 분활 상환금 등의 초회납입일을 언제로 정하느냐에 따라 채무자의 경제적 부담이 달라질 수있음에도 불구하고 초회 납입일을 금융사가 임의로 정할 수 있도록 한조항을시정 요청함.","여신전문금융업법(제54조의 3)
자본시장과 금융투자업에 관한 법(제56조)",
10006,0124_여신전문금융약관_등_시정_보도자료,계약조건의 일방적 변경 조항,초회 납입일의 임의 결정 조항,"제4조 (원금과 이자 및 지연배상금) ①채무자는 제2조에서 정한 율에 의한 이자ㆍ분할상환금ㆍ분할상환원리금을 지급하기로 합니다. 다만, 첫 회 납입일은 금융회사가 정하는 기준에 따라 대출기일 이내에 도래하는 상환일로 하며, 초회차 상환금액은 월납입원금에 당해 대출일로부터 초회차 납입일까지의 기간이자를 가산하여 납입합니다.","할부 및 대출계약을 설정한 후, 채무자의 초회 납입일을언제로정하는가에 따라 채무자의 이익이 달라질 수 있음.이에, 초회 납입일의 설정은 고객의 의사를 기본으로 금융기관의사정을 반영하여 합리적으로 결정되어야 함에도 금융기관이일방적으로 정할 수 있도록 하여 불공정함.신용대출, 할부금융 설정 계약에서 이자 ․ 분활 상환금 등의 초회납입일을 언제로 정하느냐에 따라 채무자의 경제적 부담이 달라질 수있음에도 불구하고 초회 납입일을 금융사가 임의로 정할 수 있도록 한조항을시정 요청함.","여신전문금융업법(제54조의 3)
자본시장과 금융투자업에 관한 법(제56조)",
10007,0124_여신전문금융약관_등_시정_보도자료,기타 불공정 조항,각종 신고를 서면으로만 제한한 조항,"제19조 (신고사항과 그 변경 등) ①채무자 및 보증인은 거래에 필요한 각각의 명칭ㆍ상호ㆍ대표자ㆍ주소 등과 인감ㆍ서명을 금융회사가 정한 서면에 의하여, 미리 신고하기로 합니다. 또한 대리인에 의하여 거래하고자 할 경우에, 그 성명ㆍ인감ㆍ서명 등에 관하여도 같습니다. ②제1항에 의한 신고사항에 변경이 있는 경우, 채무자 및 보증인은 각각의 정보를 곧 서면으로 신고하기로 하며, 서면신고 하지 않음으로 발생한 손해에 대하여는 변경사항에 대한 신고를 하지 않은 채무자 및 보증인이 지기로 합니다.",신고사항 중 그 중요성이나 필요성과 상관없이 모든 신고사항을서면 통보로만 제한하고 있어 고객의 의사표시의 형식이나 요건에대하여부당하게 엄격한 제한을 두는 조항으로 불공정함.대출계약 도중 채무자의 개인정보 등에 변동이 있는 경우 서면신고 필요성에관한 판단 없이 모든 신고를 서면신고로 제한한 조항을 시정 요청함.,"""여신전문금융업법(제54조의 3)
자본시장과 금융투자업에 관한 법(제56조)""
<은행여신거래기본약관(가계용) 제15조(신고사항의 변경)> 채무자가 이미 신고한 성명ㆍ주소ㆍ전화번호ㆍ인감ㆍ서명 등에 변경이 생긴 때에는, 지체 없이 그 변경 내용을 은행에 신고해야 합니다.",
10008,0124_여신전문금융약관_등_시정_보도자료,기타 불공정 조항,각종 신고를 서면으로만 제한한 조항,"제25조 (약관ㆍ부속약관 변경) ②통지를 하거나 게시한 후 1개월 이내에 채무자의 서면에 의한 이의가 금융회사에 도달하지 않은 때에는, 약관의 변경을 승인한 것으로 봅니다.",신고사항 중 그 중요성이나 필요성과 상관없이 모든 신고사항을서면 통보로만 제한하고 있어 고객의 의사표시의 형식이나 요건에대하여부당하게 엄격한 제한을 두는 조항으로 불공정함.대출계약 도중 채무자의 개인정보 등에 변동이 있는 경우 서면신고 필요성에관한 판단 없이 모든 신고를 서면신고로 제한한 조항을 시정 요청함.,"""여신전문금융업법(제54조의 3)
자본시장과 금융투자업에 관한 법(제56조)""
<은행여신거래기본약관(가계용) 제15조(신고사항의 변경)> 채무자가 이미 신고한 성명ㆍ주소ㆍ전화번호ㆍ인감ㆍ서명 등에 변경이 생긴 때에는, 지체 없이 그 변경 내용을 은행에 신고해야 합니다.",
10009,0124_여신전문금융약관_등_시정_보도자료,계약해지·갱신 관련 조항,포괄적 ․ 추상적 계약해지 조항,"제 9 조 (서비스 제공의 중지) 다음 각 호의 하나에 해당 할 때에는 고객에게 3일의 기간을 부여하여 시정조치를 요구하고 고객이 적절한 조치를 취하지 아니 할 때에는 서비스 제공을 중지 할 수 있으며, 이 경우 고객에게 통지한다. 다만, 시정이 명백히 불가능하거나 계약 위반에 정도가 중하여 계약목적을 달성 할 수 없는 정도의 이른 때에는 즉시 계약을 해지 할 수 있다. 1. 고객이 고객번호, 비밀번호 등의 기밀사항을 타인에게 누설한 경우2. 고객이 약관 또는 관련 법규를 위반 하였을 때 3. 해킹 등 고의로 통신장애를 일으키는 행위를 하였을 때","계약의 해제·해지는 계약당사자의 이해에 중대한 영향을 미치므로그 사유는 구체적으로 열거되어야 하며 그 내용도 타당하여야하고, 계약당사자의 책임 있는 사유로 인하여 계약을 해제·해지할 경우에도채무이행이 불가능하게 된 때 등 당연한 경우를 제외하고는상당한기간을 정하여 그 이행을 최고해야 함.  그런데 위 약관조항은 계약해지사유가 지나치게 포괄적이고 추상적일뿐만 아니라, 위반행위 시정을 위하여 부여한 최고기간이 지나치게짧아 법률의 규정에 의한 해지권의 행사요건을 완화하여 고객에대하여 부당하게 불이익을 줄 우려가 있어 불공정함.계약해지 사유를 지나치게 포괄적이고 추상적으로 정하고 있거나이용자에게 위반행위 시정을 위하여 부여한 최고기간이 지나치게 짧은 조항을시정 요청함.","여신전문금융업법(제54조의 3)
자본시장과 금융투자업에 관한 법(제56조)",
10010,0124_여신전문금융약관_등_시정_보도자료,계약조건의 일방적 변경 조항,이자율 등 임의 변경 조항,"제 11조(이자율 등의 변경) 1. 회사는 법령에 의한 최고율 범위내에서 이자율, 연체이자율, 기타 수수료율을 변경할 수 있다. 2. 회사가 제 1항에 의한 이자율, 연체이율, 기타 수수료율을 변경할 경우에는 제 16조의 방법에 따라 고지하여야 한다.","고객이 사업자에게 지급해야할 대출금에 대한 이자율, 연체이자율, 기타 수수료율은 계약에 있어서 중요한 사항이므로 변경을위해서는 고객과의 합의가 필요하며, 만일 금융상품의 특성상추후변경이 불가피한 경우라면 적어도 변경을 위한 객관적인 기준이마련되고, 고객과 변경기준 및 변경가능성에 대한 합의가사전에이루어져야함. 그런데 위 약관조항은 계약에 있어서 중요한 사항인 이자등의변경 시 별도의 요건이나 기준 없이 임의로 변경할 수 있는것으로 규정하고 있어 상당한 이유 없이 급부의 내용을 사업자가일방적으로 결정하거나 변경할 수 있도록 권한을 부여한조항으로 불공정함.이자율, 연 체이자율, 기타 수수료율을 회사가 임의로 변경할 수있도록정한 조항을 시정 요청함.","여신전문금융업법(제54조의 3)
자본시장과 금융투자업에 관한 법(제56조)",
